DMF_ID,High_Yield_ID,High_Yield,Simlarity
(1735, 1776, 62.0, array([[-0.31699755]]))
(1735, 1779, 51.0, array([[-0.25057476]]))
(1736, 132, 54.0, array([[-0.29656337]]))
(1736, 216, 61.0, array([[-0.32286922]]))
(1736, 240, 54.0, array([[-0.25806429]]))
(1736, 254, 73.0, array([[-0.37616558]]))
(1736, 255, 75.0, array([[-0.37569292]]))
(1736, 336, 65.0, array([[-0.34664158]]))
(1736, 338, 54.0, array([[-0.29320472]]))
(1736, 339, 60.0, array([[-0.3209392]]))
(1736, 341, 60.0, array([[-0.30543029]]))
(1736, 345, 54.0, array([[-0.29724804]]))
(1736, 348, 70.0, array([[-0.37149727]]))
(1736, 357, 53.0, array([[-0.29049947]]))
(1736, 960, 60.0, array([[-0.32569639]]))
(1736, 1080, 73.0, array([[-0.37339163]]))
(1736, 1092, 57.0, array([[-0.3190702]]))
(1736, 1176, 52.0, array([[-0.29110312]]))
(1736, 1200, 75.0, array([[-0.37826254]]))
(1736, 1203, 66.0, array([[-0.35458349]]))
(1736, 1296, 80.0, array([[-0.40251482]]))
(1736, 1299, 74.0, array([[-0.38538021]]))
(1736, 1308, 68.6, array([[-0.3710901]]))
(1736, 1320, 61.0, array([[-0.36757934]]))
(1736, 1440, 70.0, array([[-0.35715147]]))
(1736, 1443, 67.0, array([[-0.35505736]]))
(1736, 1452, 59.0, array([[-0.3296864]]))
(1736, 1560, 56.0, array([[-0.35903862]]))
(1736, 1572, 73.0, array([[-0.38370633]]))
(1736, 1656, 66.0, array([[-0.34613946]]))
(1736, 1680, 72.0, array([[-0.36958815]]))
(1736, 1683, 52.0, array([[-0.28853214]]))
(1736, 1692, 66.0, array([[-0.35308734]]))
(1736, 1776, 62.0, array([[-0.34472312]]))
(1736, 1779, 51.0, array([[-0.26321161]]))
(1746, 132, 54.0, array([[-0.03988072]]))
(1746, 216, 61.0, array([[-0.06618035]]))
(1746, 240, 54.0, array([[-0.03031737]]))
(1746, 254, 73.0, array([[-0.14780892]]))
(1746, 255, 75.0, array([[-0.15035544]]))
(1746, 336, 65.0, array([[-0.10668583]]))
(1746, 338, 54.0, array([[-0.03545139]]))
(1746, 339, 60.0, array([[-0.07187736]]))
(1746, 341, 60.0, array([[-0.05103102]]))
(1746, 345, 54.0, array([[-0.03858747]]))
(1746, 348, 70.0, array([[-0.1398007]]))
(1746, 357, 53.0, array([[-0.03368192]]))
(1746, 960, 60.0, array([[-0.07107276]]))
(1746, 1080, 73.0, array([[-0.14216332]]))
(1746, 1092, 57.0, array([[-0.06427663]]))
(1746, 1176, 52.0, array([[-0.0341201]]))
(1746, 1200, 75.0, array([[-0.14789944]]))
(1746, 1203, 66.0, array([[-0.11483213]]))
(1746, 1296, 80.0, array([[-0.18356777]]))
(1746, 1299, 74.0, array([[-0.16265402]]))
(1746, 1308, 68.6, array([[-0.13702889]]))
(1746, 1320, 61.0, array([[-0.14459559]]))
(1746, 1440, 70.0, array([[-0.12419749]]))
(1746, 1443, 67.0, array([[-0.11894332]]))
(1746, 1452, 59.0, array([[-0.078419]]))
(1746, 1560, 56.0, array([[-0.11024305]]))
(1746, 1572, 73.0, array([[-0.13165074]]))
(1746, 1656, 66.0, array([[-0.09431207]]))
(1746, 1680, 72.0, array([[-0.14043153]]))
(1746, 1683, 52.0, array([[-0.0285013]]))
(1746, 1692, 66.0, array([[-0.11410386]]))
(1746, 1776, 62.0, array([[-0.09525872]]))
(1746, 1779, 51.0, array([[-0.00155173]]))
(1747, 132, 54.0, array([[-0.24903302]]))
(1747, 216, 61.0, array([[-0.26987598]]))
(1747, 240, 54.0, array([[-0.20799396]]))
(1747, 254, 73.0, array([[-0.30686449]]))
(1747, 255, 75.0, array([[-0.3045848]]))
(1747, 336, 65.0, array([[-0.28796035]]))
(1747, 338, 54.0, array([[-0.25457838]]))
(1747, 339, 60.0, array([[-0.26829886]]))
(1747, 341, 60.0, array([[-0.25506553]]))
(1747, 345, 54.0, array([[-0.25279472]]))
(1747, 348, 70.0, array([[-0.30454036]]))
(1747, 357, 53.0, array([[-0.24095164]]))
(1747, 960, 60.0, array([[-0.2796168]]))
(1747, 1080, 73.0, array([[-0.30484222]]))
(1747, 1092, 57.0, array([[-0.26577038]]))
(1747, 1176, 52.0, array([[-0.24235661]]))
(1747, 1200, 75.0, array([[-0.30771815]]))
(1747, 1203, 66.0, array([[-0.29202569]]))
(1747, 1296, 80.0, array([[-0.33105665]]))
(1747, 1299, 74.0, array([[-0.31467406]]))
(1747, 1308, 68.6, array([[-0.30296386]]))
(1747, 1320, 61.0, array([[-0.30295232]]))
(1747, 1440, 70.0, array([[-0.29377266]]))
(1747, 1443, 67.0, array([[-0.28763741]]))
(1747, 1452, 59.0, array([[-0.28110815]]))
(1747, 1560, 56.0, array([[-0.30493616]]))
(1747, 1572, 73.0, array([[-0.32955888]]))
(1747, 1656, 66.0, array([[-0.28688789]]))
(1747, 1680, 72.0, array([[-0.30545595]]))
(1747, 1683, 52.0, array([[-0.2438689]]))
(1747, 1692, 66.0, array([[-0.28430675]]))
(1747, 1776, 62.0, array([[-0.28660652]]))
(1747, 1779, 51.0, array([[-0.21967232]]))
(1748, 132, 54.0, array([[-0.20807142]]))
(1748, 216, 61.0, array([[-0.22940178]]))
(1748, 240, 54.0, array([[-0.19857931]]))
(1748, 254, 73.0, array([[-0.30247618]]))
(1748, 255, 75.0, array([[-0.30377846]]))
(1748, 336, 65.0, array([[-0.26487246]]))
(1748, 338, 54.0, array([[-0.20128148]]))
(1748, 339, 60.0, array([[-0.23544828]]))
(1748, 341, 60.0, array([[-0.21503418]]))
(1748, 345, 54.0, array([[-0.20687218]]))
(1748, 348, 70.0, array([[-0.29549735]]))
(1748, 357, 53.0, array([[-0.20314733]]))
(1748, 960, 60.0, array([[-0.23676651]]))
(1748, 1080, 73.0, array([[-0.29912458]]))
(1748, 1092, 57.0, array([[-0.22955709]]))
(1748, 1176, 52.0, array([[-0.20228565]]))
(1748, 1200, 75.0, array([[-0.30121441]]))
(1748, 1203, 66.0, array([[-0.27284915]]))
(1748, 1296, 80.0, array([[-0.3349483]]))
(1748, 1299, 74.0, array([[-0.31519073]]))
(1748, 1308, 68.6, array([[-0.29265085]]))
(1748, 1320, 61.0, array([[-0.30177168]]))
(1748, 1440, 70.0, array([[-0.28137729]]))
(1748, 1443, 67.0, array([[-0.27665093]]))
(1748, 1452, 59.0, array([[-0.24235952]]))
(1748, 1560, 56.0, array([[-0.2727993]]))
(1748, 1572, 73.0, array([[-0.28872804]]))
(1748, 1656, 66.0, array([[-0.25420582]]))
(1748, 1680, 72.0, array([[-0.29602934]]))
(1748, 1683, 52.0, array([[-0.19972825]]))
(1748, 1692, 66.0, array([[-0.27200709]]))
(1748, 1776, 62.0, array([[-0.2585163]]))
(1748, 1779, 51.0, array([[-0.17082725]]))
(1758, 132, 54.0, array([[0.52239853]]))
(1758, 216, 61.0, array([[0.4928349]]))
(1758, 240, 54.0, array([[0.48048602]]))
(1758, 254, 73.0, array([[0.3750184]]))
(1758, 255, 75.0, array([[0.3701296]]))
(1758, 336, 65.0, array([[0.4286075]]))
(1758, 338, 54.0, array([[0.53498469]]))
(1758, 339, 60.0, array([[0.48310062]]))
(1758, 341, 60.0, array([[0.49354728]]))
(1758, 345, 54.0, array([[0.5344087]]))
(1758, 348, 70.0, array([[0.38779752]]))
(1758, 357, 53.0, array([[0.53926432]]))
(1758, 960, 60.0, array([[0.4754274]]))
(1758, 1080, 73.0, array([[0.38919579]]))
(1758, 1092, 57.0, array([[0.49692532]]))
(1758, 1176, 52.0, array([[0.53161557]]))
(1758, 1200, 75.0, array([[0.37562625]]))
(1758, 1203, 66.0, array([[0.42128744]]))
(1758, 1296, 80.0, array([[0.32493763]]))
(1758, 1299, 74.0, array([[0.3590213]]))
(1758, 1308, 68.6, array([[0.39578144]]))
(1758, 1320, 61.0, array([[0.37805008]]))
(1758, 1440, 70.0, array([[0.40396722]]))
(1758, 1443, 67.0, array([[0.42563036]]))
(1758, 1452, 59.0, array([[0.45661932]]))
(1758, 1560, 56.0, array([[0.45486226]]))
(1758, 1572, 73.0, array([[0.42900606]]))
(1758, 1656, 66.0, array([[0.46334272]]))
(1758, 1680, 72.0, array([[0.38144641]]))
(1758, 1683, 52.0, array([[0.54547046]]))
(1758, 1692, 66.0, array([[0.42233759]]))
(1758, 1776, 62.0, array([[0.45453398]]))
(1758, 1779, 51.0, array([[0.565789]]))
(1759, 132, 54.0, array([[-0.07721763]]))
(1759, 216, 61.0, array([[-0.10793982]]))
(1759, 240, 54.0, array([[-0.07327274]]))
(1759, 254, 73.0, array([[-0.19359024]]))
(1759, 255, 75.0, array([[-0.19328675]]))
(1759, 336, 65.0, array([[-0.15629944]]))
(1759, 338, 54.0, array([[-0.07081552]]))
(1759, 339, 60.0, array([[-0.11164285]]))
(1759, 341, 60.0, array([[-0.10394871]]))
(1759, 345, 54.0, array([[-0.06927443]]))
(1759, 348, 70.0, array([[-0.18603639]]))
(1759, 357, 53.0, array([[-0.05663207]]))
(1759, 960, 60.0, array([[-0.13047793]]))
(1759, 1080, 73.0, array([[-0.1842941]]))
(1759, 1092, 57.0, array([[-0.10221855]]))
(1759, 1176, 52.0, array([[-0.06538374]]))
(1759, 1200, 75.0, array([[-0.19493229]]))
(1759, 1203, 66.0, array([[-0.1621628]]))
(1759, 1296, 80.0, array([[-0.23482222]]))
(1759, 1299, 74.0, array([[-0.20337956]]))
(1759, 1308, 68.6, array([[-0.17976643]]))
(1759, 1320, 61.0, array([[-0.18347435]]))
(1759, 1440, 70.0, array([[-0.17096376]]))
(1759, 1443, 67.0, array([[-0.1498457]]))
(1759, 1452, 59.0, array([[-0.14363712]]))
(1759, 1560, 56.0, array([[-0.1457838]]))
(1759, 1572, 73.0, array([[-0.18044229]]))
(1759, 1656, 66.0, array([[-0.13352956]]))
(1759, 1680, 72.0, array([[-0.19087092]]))
(1759, 1683, 52.0, array([[-0.05579354]]))
(1759, 1692, 66.0, array([[-0.15315594]]))
(1759, 1776, 62.0, array([[-0.14148093]]))
(1759, 1779, 51.0, array([[-0.03251377]]))
(1760, 132, 54.0, array([[0.07729722]]))
(1760, 216, 61.0, array([[0.05018762]]))
(1760, 240, 54.0, array([[0.03968078]]))
(1760, 254, 73.0, array([[-0.07007013]]))
(1760, 255, 75.0, array([[-0.07342855]]))
(1760, 336, 65.0, array([[-0.01460405]]))
(1760, 338, 54.0, array([[0.09625463]]))
(1760, 339, 60.0, array([[0.03783261]]))
(1760, 341, 60.0, array([[0.05405175]]))
(1760, 345, 54.0, array([[0.08937621]]))
(1760, 348, 70.0, array([[-0.05763939]]))
(1760, 357, 53.0, array([[0.0917284]]))
(1760, 960, 60.0, array([[0.03090688]]))
(1760, 1080, 73.0, array([[-0.05969131]]))
(1760, 1092, 57.0, array([[0.04986529]]))
(1760, 1176, 52.0, array([[0.08707511]]))
(1760, 1200, 75.0, array([[-0.0679453]]))
(1760, 1203, 66.0, array([[-0.02331675]]))
(1760, 1296, 80.0, array([[-0.11879698]]))
(1760, 1299, 74.0, array([[-0.08558072]]))
(1760, 1308, 68.6, array([[-0.04971454]]))
(1760, 1320, 61.0, array([[-0.07182894]]))
(1760, 1440, 70.0, array([[-0.03966506]]))
(1760, 1443, 67.0, array([[-0.02231717]]))
(1760, 1452, 59.0, array([[0.01507991]]))
(1760, 1560, 56.0, array([[0.00468864]]))
(1760, 1572, 73.0, array([[-0.01747646]]))
(1760, 1656, 66.0, array([[0.01852297]]))
(1760, 1680, 72.0, array([[-0.0624895]]))
(1760, 1683, 52.0, array([[0.0982339]]))
(1760, 1692, 66.0, array([[-0.02311521]]))
(1760, 1776, 62.0, array([[0.0050392]]))
(1760, 1779, 51.0, array([[0.1261705]]))
(1770, 132, 54.0, array([[0.54109019]]))
(1770, 216, 61.0, array([[0.51873711]]))
(1770, 240, 54.0, array([[0.48988688]]))
(1770, 254, 73.0, array([[0.40620659]]))
(1770, 255, 75.0, array([[0.40148867]]))
(1770, 336, 65.0, array([[0.4572739]]))
(1770, 338, 54.0, array([[0.55579474]]))
(1770, 339, 60.0, array([[0.50628152]]))
(1770, 341, 60.0, array([[0.51876295]]))
(1770, 345, 54.0, array([[0.55169728]]))
(1770, 348, 70.0, array([[0.41847488]]))
